Altitude (m),Air density (kg/m3)
-737,1.31405
-736,1.31392
-735,1.3138
-734,1.31368
-733,1.31355
-732,1.31343
-731,1.3133
-730,1.31318
-729,1.31306
-728,1.31293
-727,1.31281
-726,1.31268
-725,1.31256
-724,1.31244
-723,1.31231
-722,1.31219
-721,1.31206
-720,1.31194
-719,1.31182
-718,1.31169
-717,1.31157
-716,1.31145
-715,1.31132
-714,1.3112
-713,1.31107
-712,1.31095
-711,1.31083
-710,1.3107
-709,1.31058
-708,1.31045
-707,1.31033
-706,1.31021
-705,1.31008
-704,1.30996
-703,1.30984
-702,1.30971
-701,1.30959
-700,1.30946
-699,1.30934
-698,1.30922
-697,1.30909
-696,1.30897
-695,1.30885
-694,1.30872
-693,1.3086
-692,1.30847
-691,1.30835
-690,1.30823
-689,1.3081
-688,1.30798
-687,1.30786
-686,1.30773
-685,1.30761
-684,1.30748
-683,1.30736
-682,1.30724
-681,1.30711
-680,1.30699
-679,1.30687
-678,1.30674
-677,1.30662
-676,1.3065
-675,1.30637
-674,1.30625
-673,1.30613
-672,1.306
-671,1.30588
-670,1.30576
-669,1.30563
-668,1.30551
-667,1.30538
-666,1.30526
-665,1.30514
-664,1.30501
-663,1.30489
-662,1.30477
-661,1.30464
-660,1.30452
-659,1.3044
-658,1.30427
-657,1.30415
-656,1.30403
-655,1.3039
-654,1.30378
-653,1.30366
-652,1.30353
-651,1.30341
-650,1.30329
-649,1.30316
-648,1.30304
-647,1.30292
-646,1.30279
-645,1.30267
-644,1.30255
-643,1.30242
-642,1.3023
-641,1.30218
-640,1.30205
-639,1.30193
-638,1.30181
-637,1.30168
-636,1.30156
-635,1.30144
-634,1.30132
-633,1.30119
-632,1.30107
-631,1.30095
-630,1.30082
-629,1.3007
-628,1.30058
-627,1.30045
-626,1.30033
-625,1.30021
-624,1.30008
-623,1.29996
-622,1.29984
-621,1.29971
-620,1.29959
-619,1.29947
-618,1.29935
-617,1.29922
-616,1.2991
-615,1.29898
-614,1.29885
-613,1.29873
-612,1.29861
-611,1.29848
-610,1.29836
-609,1.29824
-608,1.29812
-607,1.29799
-606,1.29787
-605,1.29775
-604,1.29762
-603,1.2975
-602,1.29738
-601,1.29726
-600,1.29713
-599,1.29701
-598,1.29689
-597,1.29676
-596,1.29664
-595,1.29652
-594,1.2964
-593,1.29627
-592,1.29615
-591,1.29603
-590,1.2959
-589,1.29578
-588,1.29566
-587,1.29554
-586,1.29541
-585,1.29529
-584,1.29517
-583,1.29505
-582,1.29492
-581,1.2948
-580,1.29468
-579,1.29455
-578,1.29443
-577,1.29431
-576,1.29419
-575,1.29406
-574,1.29394
-573,1.29382
-572,1.2937
-571,1.29357
-570,1.29345
-569,1.29333
-568,1.29321
-567,1.29308
-566,1.29296
-565,1.29284
-564,1.29272
-563,1.29259
-562,1.29247
-561,1.29235
-560,1.29223
-559,1.2921
-558,1.29198
-557,1.29186
-556,1.29174
-555,1.29161
-554,1.29149
-553,1.29137
-552,1.29125
-551,1.29112
-550,1.291
-549,1.29088
-548,1.29076
-547,1.29063
-546,1.29051
-545,1.29039
-544,1.29027
-543,1.29014
-542,1.29002
-541,1.2899
-540,1.28978
-539,1.28965
-538,1.28953
